SegmentID,Regulation_1,Regulation_2,Regulation_3
292,"2.75,  M - S, 5:00 PM- 8 PM",,
293,"2.75,  M - S, 5:00 PM- 8 PM",,
294,"3.25,  M - S, 10:00 AM- 8 PM",,
296,"2.25, M - S, 8:00 AM- 5 PM","3.25,  M - S, 5:00 PM- 8 PM",
297,"2.75, M - S, 8:00 AM- 8 PM",,
298,"2.75, M - S, 8:00 AM- 8 PM",,
299,"2.75, M - S, 8:00 AM- 8 PM",,
303,"3.75,  M - S, 10:00 AM- 8 PM",,
307,"1.25, M - F, 8:00 AM- 8 PM",,
308,"1.25, M - F, 8:00 AM- 8 PM",,
309,"2.25, M - F, 8:00 AM- 10 AM","2.25,  M - F, 10:00 AM- 2 PM",
311,"3.25,  M - S, 10:00 AM- 8 PM",,
313,"3.25,  M - S, 10:00 AM- 8 PM",,
315,"3.25, M - S, 8:00 AM- 10 AM",,
322,"1.25, M - S, 8:00 AM- 8 PM",,
323,"1.25, M - S, 8:00 AM- 8 PM",,
324,"1.25, M - S, 8:00 AM- 8 PM",,
325,"1.25, M - S, 8:00 AM- 8 PM",,
326,"1.25, M - S, 8:00 AM- 8 PM",,
327,"1.25, M - S, 8:00 AM- 8 PM",,
330,"2.75,  M - S, 5:00 PM- 8 PM",,
331,"2.75,  M - S, 5:00 PM- 8 PM",,
333,"2.25, M - S, 8:00 AM- 5 PM","3.25,  M - S, 5:00 PM- 8 PM",
335,"2.25, M - S, 8:00 AM- 5 PM","3.25,  M - S, 5:00 PM- 8 PM",
336,"2.75, M - S, 8:00 AM- 2 PM",,
337,"1.25, M - S, 8:00 AM- 8 PM",,
339,"1.25, M - S, 8:00 AM- 8 PM",,
341,"3.25,  M - S, 10:00 AM- 8 PM",,
342,"2.75, M - S, 8:00 AM- 2 PM",,
349,"2.75,  M - S, 10:00 AM- 8 PM",,
350,"3.25, M - S, 8:00 AM- 8 PM",,
351,"3.25, M - S, 8:00 AM- 8 PM",,
352,"3.25,  M - S, 10:00 AM- 8 PM",,
353,"3.25,  M - S, 10:00 AM- 8 PM",,
354,"2.75, M - S, 8:00 AM- 8 PM",,
357,"3.75,  M - S, 10:00 AM- 8 PM",,
